year,country,life_evaluation,gdp_per_capita,pm2_5,intentional_homicide_rate,healthy_life_expectancy,degree_of_urbanization,sdg_index_score
2011,Zimbabwe,3.978,4358.944706743855,16.7654811217047,,46.89143509,36.713,56.2619012761544
2012,Afghanistan,4.04,2985.319144528449,34.3492255147613,6.37433845786952,51.25516665,79.952,39.18337201539202
2012,Albania,5.55,12463.518369846022,19.0674970188242,5.39518158737926,67.74143899,63.243,70.68286236949324
2012,Algeria,5.422,14697.539613385314,16.1392471454087,1.38925169697228,65.50732171,77.353,69.88569403276462
2012,Angola,5.589,11516.813324658757,21.343442353859,4.83370121625773,51.67331406,72.401,51.98643686444274
2012,Argentina,6.562,28825.966686536078,14.0989689010505,6.28057846262278,66.15198684,85.396,71.46274367625838
2012,Armenia,4.316,11796.274117799436,26.175282946909,2.22410225395655,64.86642185,77.08,71.09947366071428
2012,Australia,7.35,54403.8836902433,5.39664894010799,1.06333429077178,69.93422223,80.675,75.47482976402682
2012,Austria,7.369,61376.634593042756,14.2633315811578,0.960671644685274,69.64677579,56.598,83.72978076125264
2012,Azerbaijan,4.604,19523.373716135644,24.1972460640639,2.15439538519976,63.06423479,77.332,69.51730793650793
2012,Bahrain,5.312,54516.84065947874,60.1462862483855,0.739947200656415,64.79778525,97.769,59.68648031746032
2012,Bangladesh,4.804,4592.048409198117,73.0293458531385,2.65299368492385,62.28676798,97.233,57.04513740981241
2012,Belarus,5.504,25879.131940070107,16.9065715512912,3.59291188230382,63.08645628,72.177,76.21536187007437
2012,Belgium,6.967,56356.82512921373,14.7753104581848,,68.77894462,77.461,78.01204130183542
2012,Benin,3.528,2779.726480853202,38.1125116282081,,53.75975901,71.746,51.25570107376284
2012,Bolivia,5.857,9884.46163594645,26.3774150753894,,,,62.9422436417749
2012,Bosnia and Herzegovina,4.813,12626.926323775278,30.9238504274899,1.71656816607988,67.103335,52.106,69.84100025497379
2012,Botswana,3.97,14957.618914293178,17.0970022555707,,51.84741485,69.453,58.67895642361111
2012,Brazil,6.849,18832.219552707473,13.6373535030931,28.6413621085766,63.48118734,78.548,70.42088262880911
2012,Bulgaria,3.981,22618.810427891858,26.2195407538234,1.92701571481315,65.03633307,60.118,73.68201297852477
2012,Burkina Faso,4.259,2003.6646118745,41.9889050064991,0.693972911642403,52.11796699,49.335,48.80262247023809
2012,Burundi,3.706,999.2200681631589,40.4265824547151,4.96473671628838,53.34471532,75.533,51.61361731150794
2012,Cambodia,4.067,4159.163541234465,17.9326651804583,,59.57674811,66.048,55.27984775883839
2012,Cameroon,4.42,4382.1112079735485,54.6446439640503,4.22883189715635,50.52252987,73.586,52.59884257278669
2012,Canada,7.477,54034.78216803184,6.91602708094203,1.57205168149969,70.08354106,75.241,77.36738953823954
2012,Central African Republic,3.623,1577.9805325225304,36.4656988842659,,43.30782343,,39.26474270833334
2012,Chad,4.056,2886.274745636191,43.9610063101173,,49.26178693,53.073,38.39558082837301
2012,Chile,6.587,26676.811015401894,21.5652714471192,2.47729352143792,68.38526702,80.894,75.44765630676514
2012,China,4.978,12217.93438131015,48.6578207635684,0.824083830524219,67.15763099,83.131,67.4790159735689
